item,true,false,accuracy,precision,recall,f0,accuracy_sum
301,93.0,7.0,0.93,0.93,1.0,0.93,0.6774503311258279

302,89.0,11.0,0.89,0.89,1.0,0.89,0.6781518151815181

303,92.0,8.0,0.92,0.92,1.0,0.92,0.6789473684210526

304,88.0,12.0,0.88,0.88,1.0,0.88,0.6796065573770492

305,93.0,7.0,0.93,0.93,1.0,0.93,0.6804248366013071

306,88.0,12.0,0.88,0.88,1.0,0.88,0.6810749185667753

307,92.0,8.0,0.92,0.92,1.0,0.92,0.6818506493506493

308,97.0,3.0,0.97,0.97,1.0,0.97,0.6827831715210356

309,98.0,2.0,0.98,0.98,1.0,0.98,0.683741935483871

310,96.0,4.0,0.96,0.96,1.0,0.96,0.6846302250803858

311,95.0,5.0,0.95,0.95,1.0,0.9500000000000001,0.6854807692307693

312,97.0,3.0,0.97,0.97,1.0,0.97,0.6863897763578275

313,94.0,6.0,0.94,0.94,1.0,0.94,0.6871974522292994

314,97.0,3.0,0.97,0.97,1.0,0.97,0.6880952380952381

315,78.0,22.0,0.78,0.78,1.0,0.78,0.6883860759493671

316,75.0,25.0,0.75,0.75,1.0,0.75,0.6885804416403786

317,66.0,34.0,0.66,0.66,1.0,0.66,0.6884905660377358

318,81.0,19.0,0.81,0.81,1.0,0.81,0.6888714733542319

319,82.0,18.0,0.82,0.82,1.0,0.82,0.68928125

320,74.0,26.0,0.74,0.74,1.0,0.74,0.6894392523364486

321,71.0,29.0,0.71,0.71,1.0,0.7100000000000001,0.6895031055900621

322,81.0,19.0,0.81,0.81,1.0,0.81,0.689876160990712

323,80.0,20.0,0.8,0.8,1.0,0.8000000000000002,0.6902160493827161

324,76.0,24.0,0.76,0.76,1.0,0.76,0.6904307692307692

325,84.0,16.0,0.84,0.84,1.0,0.8399999999999999,0.6908895705521473

326,83.0,17.0,0.83,0.83,1.0,0.83,0.6913149847094802

327,80.0,20.0,0.8,0.8,1.0,0.8000000000000002,0.6916463414634146

328,89.0,11.0,0.89,0.89,1.0,0.89,0.6922492401215805

329,79.0,21.0,0.79,0.79,1.0,0.79,0.6925454545454546

330,36.0,64.0,0.36,0.36,1.0,0.36,0.6915407854984894

331,27.0,73.0,0.27,0.27,1.0,0.27,0.6902710843373494

332,29.0,71.0,0.29,0.29,1.0,0.29,0.6890690690690691

333,34.0,66.0,0.34,0.34,1.0,0.34,0.6880239520958084

334,33.0,67.0,0.33,0.33,1.0,0.33,0.686955223880597

335,26.0,74.0,0.26,0.26,1.0,0.26,0.6856845238095238

336,31.0,69.0,0.31,0.31,1.0,0.31,0.6845697329376854

337,49.0,51.0,0.49,0.49,1.0,0.49,0.6839940828402367

338,79.0,21.0,0.79,0.79,1.0,0.79,0.684306784660767

339,72.0,28.0,0.72,0.72,1.0,0.72,0.6844117647058824

340,71.0,29.0,0.71,0.71,1.0,0.7100000000000001,0.6844868035190615

341,76.0,24.0,0.76,0.76,1.0,0.76,0.6847076023391813

342,78.0,22.0,0.78,0.78,1.0,0.78,0.6849854227405248

343,82.0,18.0,0.82,0.82,1.0,0.82,0.6853779069767442

344,79.0,21.0,0.79,0.79,1.0,0.79,0.6856811594202898

345,89.0,11.0,0.89,0.89,1.0,0.89,0.6862716763005781

346,92.0,8.0,0.92,0.92,1.0,0.92,0.6869452449567723

347,90.0,10.0,0.9,0.9,1.0,0.9,0.6875574712643678

348,97.0,3.0,0.97,0.97,1.0,0.97,0.6883667621776505

349,91.0,9.0,0.91,0.91,1.0,0.91,0.689

350,93.0,7.0,0.93,0.93,1.0,0.93,0.6896866096866097

351,88.0,12.0,0.88,0.88,1.0,0.88,0.6902272727272727

352,89.0,11.0,0.89,0.89,1.0,0.89,0.6907932011331445

353,87.0,13.0,0.87,0.87,1.0,0.87,0.6912994350282485

354,87.0,13.0,0.87,0.87,1.0,0.87,0.6918028169014084

355,89.0,11.0,0.89,0.89,1.0,0.89,0.6923595505617978

356,79.0,21.0,0.79,0.79,1.0,0.79,0.6926330532212885

357,89.0,11.0,0.89,0.89,1.0,0.89,0.6931843575418994

358,86.0,14.0,0.86,0.86,1.0,0.8599999999999999,0.6936490250696379

359,87.0,13.0,0.87,0.87,1.0,0.87,0.6941388888888889

360,78.0,22.0,0.78,0.78,1.0,0.78,0.6943767313019391

361,86.0,14.0,0.86,0.86,1.0,0.8599999999999999,0.6948342541436464

362,90.0,10.0,0.9,0.9,1.0,0.9,0.6953994490358126

363,83.0,17.0,0.83,0.83,1.0,0.83,0.6957692307692308

364,89.0,11.0,0.89,0.89,1.0,0.89,0.6963013698630137

365,91.0,9.0,0.91,0.91,1.0,0.91,0.6968852459016394

366,90.0,10.0,0.9,0.9,1.0,0.9,0.6974386920980926

367,64.0,36.0,0.64,0.64,1.0,0.64,0.6972826086956522

368,52.0,48.0,0.52,0.52,1.0,0.52,0.6968021680216803

369,57.0,43.0,0.57,0.57,1.0,0.57,0.6964594594594594

370,64.0,36.0,0.64,0.64,1.0,0.64,0.6963072776280324

371,63.0,37.0,0.63,0.63,1.0,0.63,0.6961290322580646

372,60.0,40.0,0.6,0.6,1.0,0.6,0.6958713136729222

373,58.0,42.0,0.58,0.58,1.0,0.58,0.6955614973262032

374,54.0,46.0,0.54,0.54,1.0,0.54,0.6951466666666667

375,58.0,42.0,0.58,0.58,1.0,0.58,0.6948404255319149

376,61.0,39.0,0.61,0.61,1.0,0.61,0.6946153846153846

377,58.0,42.0,0.58,0.58,1.0,0.58,0.6943121693121693

378,56.0,44.0,0.56,0.56,1.0,0.56,0.6939577836411609

379,63.0,37.0,0.63,0.63,1.0,0.63,0.6937894736842105

380,52.0,48.0,0.52,0.52,1.0,0.52,0.6933333333333334

381,54.0,46.0,0.54,0.54,1.0,0.54,0.6929319371727749

382,72.0,28.0,0.72,0.72,1.0,0.72,0.6930026109660574

383,92.0,8.0,0.92,0.92,1.0,0.92,0.69359375

384,91.0,9.0,0.91,0.91,1.0,0.91,0.6941558441558442

